model,gravity,pose,err_x_mm,err_y_mm,err_z_mm,err_roll_deg,err_pitch_deg,err_yaw_deg,max_pos_err_mm,max_rot_err_deg
parametric,True,working,-0.6600,0.0922,-0.1607,0.00852,-0.00899,-0.07150,0.6600,0.07150
parametric,True,x+10mm,-0.5375,0.0781,-0.1049,0.00124,-0.00599,-0.07690,0.5375,0.07690
parametric,True,y+10mm,-0.6654,0.2549,-0.1810,0.00332,-0.01421,-0.06957,0.6654,0.06957
parametric,True,z+10mm,-0.7042,0.1059,-0.1624,0.00900,-0.00826,-0.07604,0.7042,0.07604
parametric,True,roll+5,-0.6142,0.2725,-0.1560,0.01117,-0.02196,-0.05545,0.6142,0.05545
parametric,True,pitch+5,-0.8188,0.0824,-0.1530,0.02633,-0.00322,-0.07803,0.8188,0.07803
parametric,True,yaw+5,-0.6706,0.1071,-0.1434,-0.01664,-0.00235,-0.04426,0.6706,0.04426
parametric,True,combined,-0.2797,-0.0224,-0.0393,-0.03268,0.00094,-0.03172,0.2797,0.03268
parametric,True,roll+10,-0.5861,0.4264,-0.1642,0.01495,-0.03330,-0.03739,0.5861,0.03739
parametric,True,yaw+20,-0.7081,0.1578,-0.1839,-0.09667,0.00740,0.06376,0.7081,0.09667
parametric,False,working,-0.3880,0.1153,-0.0566,-0.00116,0.00320,-0.03811,0.3880,0.03811
parametric,False,x+10mm,-0.3365,0.1155,-0.0148,-0.00510,0.00308,-0.03858,0.3365,0.03858
parametric,False,y+10mm,-0.3879,0.1753,-0.0743,-0.00127,-0.00140,-0.03711,0.3879,0.03711
parametric,False,z+10mm,-0.4317,0.1260,-0.0636,-0.00112,0.00343,-0.04227,0.4317,0.04227
parametric,False,roll+5,-0.3655,0.3939,-0.0547,-0.00365,-0.00658,-0.02309,0.3939,0.02309
parametric,False,pitch+5,-0.6311,0.1440,-0.0597,0.01565,0.00454,-0.04103,0.6311,0.04103
parametric,False,yaw+5,-0.3971,0.1258,-0.0449,-0.02397,0.00866,-0.00856,0.3971,0.02397
parametric,False,combined,-0.1864,0.2364,0.0322,-0.04049,0.00896,0.01164,0.2364,0.04049
parametric,False,roll+10,-0.3343,0.6752,-0.0532,-0.00535,-0.01412,-0.00727,0.6752,0.01412
parametric,False,yaw+20,-0.4285,0.1522,-0.1220,-0.09481,0.01459,0.08085,0.4285,0.09481
identified,True,working,-0.2693,-0.0244,-0.1035,0.00960,-0.01206,-0.03364,0.2693,0.03364
identified,True,x+10mm,-0.1976,-0.0397,-0.0897,0.00625,-0.00893,-0.03859,0.1976,0.03859
identified,True,y+10mm,-0.2754,0.0772,-0.1060,0.00457,-0.01267,-0.03262,0.2754,0.03262
identified,True,z+10mm,-0.2696,-0.0242,-0.0981,0.01014,-0.01154,-0.03397,0.2696,0.03397
identified,True,roll+5,-0.2474,-0.1284,-0.1010,0.01506,-0.01528,-0.03237,0.2474,0.03237
identified,True,pitch+5,-0.1806,-0.0545,-0.0924,0.01013,-0.00752,-0.03798,0.1806,0.03798
identified,True,yaw+5,-0.2707,-0.0190,-0.0979,0.00721,-0.01092,-0.03587,0.2707,0.03587
identified,True,combined,-0.0895,-0.2645,-0.0718,0.00793,-0.00798,-0.04357,0.2645,0.04357
identified,True,roll+10,-0.2489,-0.2596,-0.1112,0.02062,-0.01902,-0.03035,0.2596,0.03035
identified,True,yaw+20,-0.2751,-0.0032,-0.0614,-0.00162,-0.00717,-0.01741,0.2751,0.01741
identified,False,working,0.0001,-0.0001,-0.0000,0.00000,0.00000,-0.00000,0.0001,0.00000
identified,False,x+10mm,0.0008,-0.0005,-0.0000,-0.00001,0.00003,-0.00008,0.0008,0.00008
identified,False,y+10mm,-0.0003,-0.0001,-0.0000,0.00002,-0.00001,0.00006,0.0003,0.00006
identified,False,z+10mm,-0.0001,-0.0025,-0.0000,0.00011,0.00001,0.00007,0.0025,0.00011
identified,False,roll+5,-0.0015,-0.0032,-0.0002,0.00018,-0.00004,0.00030,0.0032,0.00030
identified,False,pitch+5,0.0032,0.0082,0.0002,-0.00039,0.00005,-0.00061,0.0082,0.00061
identified,False,yaw+5,-0.0002,0.0015,-0.0000,-0.00004,-0.00002,0.00002,0.0015,0.00004
identified,False,combined,0.0010,-0.0017,-0.0001,0.00003,0.00003,-0.00007,0.0017,0.00007
identified,False,roll+10,-0.0004,-0.0025,-0.0002,0.00010,0.00001,0.00010,0.0025,0.00010
identified,False,yaw+20,-0.0009,-0.0053,-0.0002,0.00017,-0.00002,0.00013,0.0053,0.00017
