leg,side,x_mm,y_mm,z_mm,radius_mm,angle_deg,model_x_mm,model_y_mm,model_z_mm,deviation_mm
1,base,-147.625,-134.306,0.000,199.578,222.295,-148.629,-133.826,0.000,1.113
2,base,-190.125,-60.694,0.000,199.577,197.705,-190.211,-61.803,0.000,1.113
3,base,-42.500,195.000,-0.000,199.578,102.295,-41.582,195.630,0.000,1.113
4,base,42.500,195.000,-0.000,199.577,77.705,41.582,195.630,0.000,1.113
5,base,190.125,-60.694,0.000,199.578,342.295,190.211,-61.803,0.000,1.113
6,base,147.625,-134.306,-0.000,199.578,317.705,148.629,-133.826,0.000,1.113
1,platform,-42.867,-194.919,0.263,199.577,257.597,-41.582,-195.630,0.000,1.491
2,platform,-190.010,61.052,-0.308,199.578,162.187,-190.211,61.803,0.000,0.837
3,platform,-147.372,134.583,-0.287,199.577,137.597,-148.629,133.826,0.000,1.495
4,platform,147.877,134.028,0.359,199.577,42.188,148.629,133.826,0.000,0.857
5,platform,190.238,60.336,0.524,199.577,17.597,190.211,61.803,0.000,1.558
6,platform,42.135,-195.080,-0.551,199.578,282.188,41.582,-195.630,0.000,0.954
