config,pose,dx_mm,dy_mm,dz_mm,droll_deg,dpitch_deg,dyaw_deg,max_slider_err_mm
A_legacyIK_historical,x+10mm,-0.57,3.99,1.19,0.01,-0.03,0.29,4.04
A_legacyIK_historical,y+10mm,-3.06,2.03,1.61,-0.04,-0.12,0.07,4.18
A_legacyIK_historical,z+10mm,-0.47,-1.20,9.74,0.04,0.05,0.01,0.53
A_legacyIK_historical,roll+5deg,-3.96,4.76,6.46,1.16,1.53,1.35,16.87
A_legacyIK_historical,pitch+5deg,3.95,-0.08,5.55,-2.57,0.44,0.15,14.85
A_legacyIK_historical,yaw+5deg,0.02,-0.63,3.82,0.02,0.11,2.44,6.82
B_srcIK_historical,x+10mm,-4.23,-0.48,1.85,-0.19,-0.41,0.28,5.93
B_srcIK_historical,y+10mm,5.83,-4.17,1.43,0.05,0.11,-0.12,2.00
B_srcIK_historical,z+10mm,-0.47,-1.20,9.74,0.04,0.05,0.01,0.53
B_srcIK_historical,roll+5deg,4.23,-2.52,5.83,0.90,1.45,0.50,17.01
B_srcIK_historical,pitch+5deg,13.04,5.50,5.03,-1.75,1.94,0.23,14.85
B_srcIK_historical,yaw+5deg,-2.79,-4.46,3.43,-0.24,-1.02,-0.83,9.40
C_srcIK_legs1to6,x+10mm,5.06,-3.65,1.25,0.05,0.11,-0.12,3.60
C_srcIK_legs1to6,y+10mm,-0.91,4.85,1.32,0.01,-0.04,0.36,2.53
C_srcIK_legs1to6,z+10mm,-0.47,-1.20,9.74,0.04,0.05,0.01,0.53
C_srcIK_legs1to6,roll+5deg,-0.56,-8.53,5.35,2.09,0.03,0.12,15.45
C_srcIK_legs1to6,pitch+5deg,1.11,4.21,5.81,0.52,1.87,1.03,17.66
C_srcIK_legs1to6,yaw+5deg,0.02,-0.63,3.82,0.02,0.11,2.44,6.82
